receive_task_id,complete_time,status,sender_id,tracking_count,total_task_quantity,sender_count,processed_at
DRT2025080401JZA,2025-08-05 16:51:24,Done,1257601721,3,3,1,2025-08-05T19:02:22.090534
DRT2025080401VEC,2025-08-05 16:50:19,Done,910946898,6,150,12,2025-08-05T19:03:31.277438
DRT2025080401VEC,2025-08-05 16:50:19,Done,910936895,22,150,12,2025-08-05T19:03:31.277438
DRT2025080401VEC,2025-08-05 16:50:19,Done,910930938,15,150,12,2025-08-05T19:03:31.277438
DRT2025080401VEC,2025-08-05 16:50:19,Done,1219087799,4,150,12,2025-08-05T19:03:31.277438
DRT2025080401VEC,2025-08-05 16:50:19,Done,1297127243,74,150,12,2025-08-05T19:03:31.277438
DRT2025080401VEC,2025-08-05 16:50:19,Done,1401599312,6,150,12,2025-08-05T19:03:31.277438
DRT2025080401VEC,2025-08-05 16:50:19,Done,801392982,1,150,12,2025-08-05T19:03:31.277438
DRT2025080401VEC,2025-08-05 16:50:19,Done,965886198,1,150,12,2025-08-05T19:03:31.277438
DRT2025080401VEC,2025-08-05 16:50:19,Done,1354738987,14,150,12,2025-08-05T19:03:31.277438
DRT2025080401VEC,2025-08-05 16:50:19,Done,1354738984,1,150,12,2025-08-05T19:03:31.277438
DRT2025080401VEC,2025-08-05 16:50:19,Done,1350463971,2,150,12,2025-08-05T19:03:31.277438
DRT2025080401VEC,2025-08-05 16:50:19,Done,923680266,4,150,12,2025-08-05T19:03:31.277438
DRT2025080401JS2,2025-08-05 16:27:07,Done,1425583186,2,2,1,2025-08-05T19:03:39.614403
